Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2015-01-02,39.767677307128906,40.32898316463045,39.580577517469216,39.68263224312552,27913900
2015-01-05,39.401981353759766,39.74216485763697,39.333942706427564,39.4359974331646,39673900
2015-01-06,38.823673248291016,39.75918211807027,38.730121712460715,39.44451142467352,36447900
2015-01-07,39.31694412231445,39.51255042211555,38.687602678478235,39.10432815588775,29114100
2015-01-08,40.47356414794922,40.609638198529865,39.7336617006833,39.75917457133552,29645200
2015-01-09,40.133384704589844,40.66917779564242,39.88675267344921,40.49058118004552,23944200
2015-01-12,39.63160705566406,40.43104500864739,39.42749758479369,40.32898702895066,23651900
2015-01-13,39.4275016784668,40.745719899265985,39.17236319125758,39.946285107540604,35270600
2015-01-14,39.08731460571289,39.3254466705493,38.79815679033158,39.08731460571289,29719600
2015-01-15,38.67909622192383,39.44451499874286,38.61956401086704,39.308440910004165,32750800
2015-01-16,39.32545471191406,39.35947080447908,38.41545529522132,38.534522974117706,35695300
2015-01-20,39.45302200317383,39.67414444629811,38.755641825804936,39.37648011813273,36161900
2015-01-21,39.05329895019531,39.24040203782866,38.6790960191908,39.07030861673127,39081100
2015-01-22,40.082359313964844,40.090862524385976,39.189372983698824,39.444511471737414,35898000
2015-01-23,40.124881744384766,40.303478361095046,39.8017045968172,40.27796548563983,26211600
2015-01-26,39.98029708862305,40.082355068438005,39.325442894915575,39.97179387910258,42525500
2015-01-27,36.280792236328125,36.74004355123086,35.813037709340165,36.527427562212466,169164000
2015-01-28,35.03060531616211,36.391349442242465,35.00509243845995,36.3488268979848,84507100
2015-01-29,35.727989196777344,35.82154075058126,34.69042538141457,34.80948981561501,63585300
2015-01-30,34.358726501464844,35.36227368527396,34.3162007312991,35.33675757432236,78004900
2015-02-02,35.107139587402344,35.18368144818784,34.214153374412476,34.52032081755448,50352500
2015-02-03,35.37928771972656,35.65994229081227,34.91153334551186,35.40480383617347,52082400
2015-02-04,35.583412170410156,35.89808292681198,35.17518985944664,35.66845726859577,41614800
2015-02-05,36.10218811035156,36.26377506061953,35.60041435037415,35.90658183026028,36548200
2015-02-06,36.06816101074219,36.391338085921326,35.84704190304772,36.297786571190954,34616600
2015-02-09,36.02566146850586,36.348838749911394,35.898090549874844,35.92360668015899,31381100
2015-02-10,36.22975158691406,36.374332099995414,35.87255839740981,36.34881922767696,29670700
2015-02-11,36.04265594482422,36.27228155499068,35.89807541504748,36.27228155499068,38262500
2015-02-12,36.646484375,36.646484375,36.15321382582502,36.28078469040803,33268800
2015-02-13,37.30985641479492,37.30985641479492,36.69752451392544,36.89313085322874,40264900
2015-02-17,37.32697677612305,37.68671200419879,36.99293272060279,37.66101756429336,33695700
2015-02-18,37.28414535522461,37.42975479346381,37.16423362217449,37.36979892693875,27111700
2015-02-19,37.258460998535156,37.284155443326796,36.87302798990778,36.98437602958915,27603400
2015-02-20,37.566802978515625,37.58393369547487,37.07858898090292,37.2670203327542,29721100
2015-02-23,37.81519317626953,37.849451342568656,37.38693505770408,37.4297602160906,32518800
2015-02-24,37.763797760009766,37.943665370088404,37.61818831326764,37.81518990603932,25271700
2015-02-25,37.67815017700195,37.76380049256559,37.5154100031409,37.643888743836456,29759800
2015-02-26,37.73810958862305,37.88371579219916,37.59250011769652,37.67815370863872,28957300
2015-02-27,37.5582275390625,37.8580101173992,37.395490665576474,37.798054255201755,33807700
2015-03-02,37.58393478393555,37.849452736117925,37.30128284694754,37.40406388432942,31924000
2015-03-03,37.07002639770508,37.54111300173783,36.907289468262306,37.30985319630827,31748600
2015-03-04,36.881595611572266,37.010071105070374,36.727422405494046,36.83876717972228,25748700
2015-03-05,36.92440414428711,37.03575213571171,36.67601372778191,36.89014272117967,23193500
2015-03-06,36.28202438354492,36.92441149156137,36.102156777464266,36.83019419294299,36248800
2015-03-09,36.70172882080078,36.94155565020196,36.13642809071748,36.13642809071748,32108000
2015-03-10,35.99937438964844,36.58180565974298,35.99937438964844,36.27345930882823,39159700
2015-03-11,35.95656204223633,36.29060295227063,35.83665025579849,36.2392140537122,32215300
2015-03-12,35.1342887878418,35.67389481457991,34.9972463504392,35.39980993977471,59992500
2015-03-13,35.44264602661133,35.51973262564894,34.78312807203411,34.86021467107172,58007700
2015-03-16,35.5968132019043,35.665332796483234,35.356986452503286,35.519726615909306,35273500
2015-03-17,35.71672821044922,35.82807623759521,35.24564492731641,35.43407628015942,31673400
2015-03-18,36.40193176269531,36.68458362470984,35.39980956249706,35.48545985970482,44194800
2015-03-19,36.22207260131836,36.47902682004379,36.16211672586076,36.1963748923007,33879100
2015-03-20,36.7274169921875,36.81306730856211,36.39337618403632,36.45333205896858,71904500
2015-03-23,36.71027374267578,36.941533438756096,36.64175089908945,36.72740445357236,26246100
2015-03-24,36.74456024169922,36.97581682825727,36.616081455965855,36.64177590617203,25513300
2015-03-25,35.511165618896484,36.77024564690157,35.49403490052255,36.76167865403938,43469900
2015-03-26,35.29702377319336,35.639631482048685,35.04863334764071,35.30559076295683,37495600
2015-03-27,35.09148025512695,35.48547704080417,34.97156847403832,35.21995576314292,34401400
2015-03-30,35.08290100097656,35.57968194028548,35.040075846603344,35.20281274016152,35049700
2015-03-31,34.825958251953125,35.14286841927833,34.72317719421134,34.92873930969491,34887200
2015-04-01,34.877342224121094,34.91160039042277,34.52617069756526,34.77455792316562,36865300
2015-04-02,34.50904846191406,34.89448151684832,34.363438966782915,34.82595863270403,37487500
2015-04-06,35.5882568359375,35.7852552217751,34.41483024753489,34.55187274495891,39223700
2015-04-07,35.571128845214844,35.89660602683192,35.382697438890105,35.63965173286101,28809400
2015-04-08,35.47689437866211,35.70815411177948,35.15142062154836,35.51115580594236,24753400
2015-04-09,35.5283088684082,35.648220671969185,35.33131043865065,35.33131043865065,25723900
2015-04-10,35.73386001586914,35.930858366912055,35.46833879454158,35.65677342047406,28022000
2015-04-13,35.76811981201172,36.02507731992688,35.45120969089357,35.459776683744316,30276700
2015-04-14,35.67390823364258,35.99938210281029,35.45121214700082,35.80238372915068,24244400
2015-04-15,36.196380615234375,36.367684543919225,35.69960281613406,35.768122427197596,27343600
2015-04-16,36.110721588134766,36.26489476008702,35.81950595970828,35.930853976640435,22509700
2015-04-17,35.64820861816406,35.750992929905884,35.254211891871904,35.691033781047906,42387600
2015-04-20,36.753108978271484,36.97580174637817,35.69959447396504,35.74241962929134,46057700
2015-04-21,36.5218505859375,36.95867568172866,36.42763328028254,36.830196943590074,26013800
2015-04-22,36.82163619995117,36.941547956000996,36.444766946822796,36.54754798524404,25064300
2015-04-23,37.12140655517578,37.352666285850475,36.65888709382639,36.735973670717954,46309500
2015-04-24,41.00141525268555,41.232674937962244,39.09995217488081,39.10851589625453,130933700
2015-04-27,41.13847351074219,41.22412709421346,40.44469745505055,40.45326117972262,59248200
2015-04-28,42.10633087158203,42.149156022630294,40.85581816381504,40.92433775202234,60730800
2015-04-29,42.020687103271484,42.23481615915726,41.541036841841304,41.72947145657282,47804600
2015-04-30,41.66095733642578,42.43182340638587,41.62669589612738,41.71234949687338,64725500
2015-05-01,41.67806625366211,41.866500809377364,41.4553735429206,41.609546676260514,38937300
2015-05-04,41.3183479309082,41.8579508497833,41.266955776436596,41.42969269790442,34039500
2015-05-05,40.77016830444336,41.249818534940886,40.521781098820426,40.95860290702272,50369200
2015-05-06,39.63956069946289,40.91577101782418,39.41686796998978,40.74446715888752,52433000
2015-05-07,39.99930953979492,40.33335035461347,39.536789980499925,39.631007290802636,32971700
2015-05-08,40.898643493652344,41.09564180321521,40.70164518408948,40.72733962136085,35364900
2015-05-11,40.57316970825195,41.03568922022845,40.57316970825195,40.72734287891078,24609400
2015-05-12,40.55603790283203,40.83868979722592,39.75947763162171,40.12777983303507,29928300
2015-05-13,40.795867919921875,41.38686292745697,40.74447577117316,41.275514905509766,34184600
2015-05-14,41.729469299316406,41.81511961030289,41.13847104451998,41.13847104451998,32980900
2015-05-15,41.369728088378906,41.892203446196845,41.155599057623995,41.85794201711212,28642700
2015-05-18,41.121337890625,41.30120876079131,40.77873339964339,41.095643452322555,24136500
2015-05-19,41.01788330078125,41.21616186361488,40.673049015845876,41.000641257676136,28574800
2015-05-20,41.01788330078125,41.319610833662104,40.75063656552717,40.85408553557439,25047900
2015-05-21,40.87995529174805,41.03513042275229,40.52650155747931,40.75926425398567,22410700
2015-05-22,40.431678771972656,40.8196133448459,40.362710579453775,40.776509868813804,25720600
2015-05-26,40.16443634033203,40.41444113260909,39.81960191728886,40.37133765187489,29581900
2015-05-27,41.04375076293945,41.18168383950117,40.190287590812375,40.362704758660506,27335600
2015-05-28,40.90582275390625,41.39720960556824,40.85409661056865,40.948926229062074,19283700
2015-05-29,40.39719772338867,41.0092756795407,40.164434988953815,40.888584622111814,36519600
2015-06-01,40.71616744995117,41.18169291920459,40.19029645193358,40.569614962548066,28837300
2015-06-02,40.44892120361328,40.819617050594296,40.1902970353575,40.45754387275315,21498300
2015-06-03,40.38857650756836,41.155832936200966,40.36271507678443,40.83685994313687,28002200
2015-06-04,39.96615219116211,40.65581765363487,39.82821909866756,40.33684799385078,27745500
2015-06-05,39.776485443115234,40.10407770913605,39.51786135460773,39.92304117603916,25438100
2015-06-08,39.42304611206055,40.026504730737145,39.371319960087725,39.91443304575516,22121600
