Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,Close,close_lag_1,close_lag_2,close_lag_3,close_lag_5,close_lag_10,rolling_mean_5,rolling_std_5,rolling_mean_10,rolling_std_10,rolling_mean_20,rolling_std_20,daily_return,target
2018-01-30,39.066463470458984,39.16005122173868,38.535343878079864,38.729541853621896,184192800,39.066463470458984,39.29810333251953,40.128692626953125,40.03510665893555,41.42256546020508,41.22367858886719,39.8582275390625,0.6825076966121284,40.77282524108887,1.079608505975881,40.78943424224853,0.7861104964395105,-0.005894428545330399,39.17408752441406
2018-01-31,39.17408752441406,39.41040247806591,38.95649440447249,39.04306324959199,129915600,39.17408752441406,39.066463470458984,39.29810333251953,40.128692626953125,40.76277160644531,41.904544830322266,39.54049072265625,0.5020784776917342,40.499779510498044,1.1065273046640813,40.73292999267578,0.8599705016657441,0.0027548962561319,39.2559814453125
2018-02-01,39.2559814453125,39.452517867378766,39.01732803557838,39.11325780235259,188923200,39.2559814453125,39.17408752441406,39.066463470458984,39.29810333251953,40.03510665893555,41.941993713378906,39.38466567993164,0.425213057130653,40.231178283691406,1.041644517804636,40.680871391296385,0.9173391121748411,0.0020905125319741202,37.552650451660156
2018-02-02,37.552650451660156,39.026680435753946,37.45906271971327,38.839501401717044,346375200,37.552650451660156,39.2559814453125,39.17408752441406,39.066463470458984,40.128692626953125,41.75480651855469,38.86945724487305,0.7414056947387964,39.81096267700195,1.1950112273341285,40.53428764343262,1.1540799458997042,-0.04339035558250537,36.614437103271484
2018-02-05,36.614437103271484,38.3434974799568,36.499789044737824,37.22510679355654,290954000,36.614437103271484,37.552650451660156,39.2559814453125,39.17408752441406,39.29810333251953,41.413204193115234,38.332723999023436,1.189505685288775,39.331085968017575,1.4220582817557368,40.317746543884276,1.443034807855736,-0.024983944864195196,38.144596099853516
2018-02-06,38.144596099853516,38.30603794879191,36.03182140318713,36.22601931059545,272975200,38.144596099853516,36.614437103271484,37.552650451660156,39.2559814453125,39.066463470458984,41.42256546020508,38.14835052490234,1.1165511302716322,39.00328903198242,1.2542909125019788,40.18531761169434,1.5167562707897164,0.041791138076660905,37.32805252075195
2018-02-07,37.32805252075195,38.23118848400175,37.21808849036066,38.15865742197683,206434400,37.32805252075195,38.144596099853516,36.614437103271484,37.552650451660156,39.17408752441406,40.76277160644531,37.779143524169925,0.9906978705109966,38.659817123413085,1.1874398304112477,40.01229553222656,1.6369395581972912,-0.02140653362704492,36.300907135009766
2018-02-08,36.300907135009766,37.669650523067176,36.27283151930214,37.50352813312676,217562000,36.300907135009766,37.32805252075195,38.144596099853516,36.614437103271484,39.2559814453125,40.03510665893555,37.18812866210938,0.73884518398146,38.28639717102051,1.2896481249656337,39.788383674621585,1.8223100962245933,-0.027516715081001397,36.74489974975586
2018-02-09,36.74489974975586,37.092590392075465,35.295401898813765,36.89995229007209,282690400,36.74489974975586,36.300907135009766,37.32805252075195,38.144596099853516,37.552650451660156,40.128692626953125,37.02657852172852,0.7274359624691701,37.94801788330078,1.1928437964836058,39.575090408325195,1.9188012350306218,0.012230895858739821,38.224952697753906
2018-02-12,38.224952697753906,38.502164684443535,37.00333010270935,37.235908995126586,243278000,38.224952697753906,36.74489974975586,36.300907135009766,37.32805252075195,36.614437103271484,39.29810333251953,37.348681640625,0.8461885633409869,37.840702819824216,1.1027583520960813,39.414624786376955,1.8891034111424458,0.04027913963781815,38.607887268066406
