Date,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,Open,High,Low,Close,Volume,daily_return,close_lag_1,return_lag_1,close_lag_2,return_lag_2,close_lag_3,return_lag_3,close_lag_5,return_lag_5,close_lag_10,return_lag_10,rolling_mean_5,rolling_std_5,price_vs_rolling_mean_5,momentum_5,rolling_mean_10,rolling_std_10,price_vs_rolling_mean_10,momentum_10,rolling_mean_20,rolling_std_20,price_vs_rolling_mean_20,momentum_20,high_low_range,open_close_diff,volume_change,target,next_close
2015-02-02,35.107139587402344,35.18368144818784,34.214153374412476,34.52032081755448,50352500,34.52032081755448,35.18368144818784,34.214153374412476,35.107139587402344,50352500,0.021782329036717618,34.358726501464844,-0.03832465039583044,35.727989196777344,0.019907845563076343,35.03060531616211,-0.03445864445358493,39.98029708862305,-0.0036033665266054227,39.32545471191406,0.016710796092072933,35.30105056762695,0.7315885247887036,-0.005493065421753651,-0.12188897672317267,37.519911193847655,2.409502151724635,-0.06430643169648409,-0.10726678573493353,38.474981689453124,1.96270952194746,-0.08753329967078272,-0.11719411429872717,0.027616265100767853,0.01699922700456057,-0.35449567911759394,0.007751931245970178,35.37928771972656
2015-02-03,35.37928771972656,35.65994229081227,34.91153334551186,35.40480383617347,52082400,35.40480383617347,35.65994229081227,34.91153334551186,35.37928771972656,52082400,0.007751931245970178,35.107139587402344,0.021782329036717618,34.358726501464844,-0.03832465039583044,35.727989196777344,0.019907845563076343,36.280792236328125,-0.09253320064366577,39.45302200317383,0.0032438859815935306,35.12074966430664,0.5061057978078153,0.007361404807445515,-0.024847983217380798,37.11253776550293,2.390656021729927,-0.04670254717497291,-0.10325531674403932,38.27384700775146,2.066107887541127,-0.07562760250984635,-0.10209368909437733,0.021153872605612446,-0.000720696450260757,0.03435579166873537,0.005769603172925963,35.583412170410156
2015-02-04,35.583412170410156,35.89808292681198,35.17518985944664,35.66845726859577,41614800,35.66845726859577,35.89808292681198,35.17518985944664,35.583412170410156,41614800,0.005769603172925963,35.37928771972656,0.007751931245970178,35.107139587402344,0.021782329036717618,34.358726501464844,-0.03832465039583044,35.03060531616211,-0.03445864445358493,39.05329895019531,-0.010131620663845764,35.23131103515625,0.5406902583109848,0.009993983332114764,0.015780682327889872,36.76554908752441,2.328680733119281,-0.03215338670177481,-0.08885002990938884,38.11183395385742,2.1462133163071173,-0.06634217042686696,-0.08346096097497657,0.020315451028231405,-0.00238432230318228,-0.20098152158886684,0.014579151022868997,36.10218811035156
2015-02-05,36.10218811035156,36.26377506061953,35.60041435037415,35.90658183026028,36548200,35.90658183026028,36.26377506061953,35.60041435037415,36.10218811035156,36548200,0.014579151022868997,35.583412170410156,0.005769603172925963,35.37928771972656,0.007751931245970178,35.107139587402344,0.021782329036717618,35.727989196777344,0.019907845563076343,40.082359313964844,0.02635015200846147,35.30615081787109,0.642867898602623,0.02254670288434668,0.010473550904677609,36.36753196716309,2.018234295341056,-0.007296174429738844,-0.09929982345691346,37.95109615325928,2.171442080497673,-0.04871817234056175,-0.08176515453392896,0.01837452921739037,0.005447644139895154,-0.12174995434316638,-0.0009425218079681663,36.06816101074219
2015-02-06,36.06816101074219,36.391338085921326,35.84704190304772,36.297786571190954,34616600,36.297786571190954,36.391338085921326,35.84704190304772,36.06816101074219,34616600,-0.0009425218079681663,36.10218811035156,0.014579151022868997,35.583412170410156,0.005769603172925963,35.37928771972656,0.007751931245970178,34.358726501464844,-0.03832465039583044,40.124881744384766,0.0010608764341151211,35.64803771972656,0.4335118137476039,0.011785313242729911,0.04975255730751438,35.96185989379883,1.5270041238429837,0.0029559404674086576,-0.10110237232562791,37.73082599639893,2.125042099852813,-0.04406648785837408,-0.10884643420834617,0.015090766138908524,-0.00632615875897561,-0.052850755987982945,-0.0011783118696756523,36.02566146850586
2015-02-09,36.02566146850586,36.348838749911394,35.898090549874844,35.92360668015899,31381100,35.92360668015899,36.348838749911394,35.898090549874844,36.02566146850586,31381100,-0.0011783118696756523,36.06816101074219,-0.0009425218079681663,36.10218811035156,0.014579151022868997,35.583412170410156,0.005769603172925963,35.107139587402344,0.021782329036717618,39.98029708862305,-0.0036033665266054227,35.83174209594726,0.32902218295734437,0.005411943746394865,0.02616339274285706,35.56639633178711,0.6035076370224434,0.012912894869483438,-0.0989146131493489,37.52543983459473,2.0786116673402555,-0.03996697634190616,-0.10235177686406816,0.01251186464488932,0.002840883691203407,-0.09346671827966924,0.005665131744676533,36.22975158691406
2015-02-10,36.22975158691406,36.374332099995414,35.87255839740981,36.34881922767696,29670700,36.34881922767696,36.374332099995414,35.87255839740981,36.22975158691406,29670700,0.005665131744676533,36.02566146850586,-0.0011783118696756523,36.06816101074219,-0.0009425218079681663,36.10218811035156,0.014579151022868997,35.37928771972656,0.007751931245970178,36.280792236328125,-0.09253320064366577,36.001834869384766,0.24599858839643066,0.006330697264630647,0.024038467759013304,35.561292266845705,0.5969749094662399,0.018797385512662412,-0.0014068229018151523,37.355347061157225,2.035942035275269,-0.03013211127179105,-0.08583692970037693,0.013849769336172853,-0.0032756948724276193,-0.054504144214192585,-0.005164143663557996,36.04265594482422
2015-02-11,36.04265594482422,36.27228155499068,35.89807541504748,36.27228155499068,38262500,36.27228155499068,36.27228155499068,35.89807541504748,36.04265594482422,38262500,-0.005164143663557996,36.22975158691406,0.005665131744676533,36.02566146850586,-0.0011783118696756523,36.06816101074219,-0.0009425218079681663,35.583412170410156,0.005769603172925963,35.03060531616211,-0.03445864445358493,36.09368362426758,0.08134657074420534,-0.001413756489211604,0.012906119632786428,35.66249732971191,0.5826251974319571,0.01065989887353136,0.028890469334687197,37.1861047744751,1.9948962989252763,-0.030749357497528274,-0.08584986594499855,0.010382313126869722,-0.006330608396340709,0.2895718671955836,0.016753161340278266,36.646484375
2015-02-12,36.646484375,36.646484375,36.15321382582502,36.28078469040803,33268800,36.28078469040803,36.646484375,36.15321382582502,36.646484375,33268800,0.016753161340278266,36.04265594482422,-0.005164143663557996,36.22975158691406,0.005665131744676533,36.02566146850586,-0.0011783118696756523,36.10218811035156,0.014579151022868997,35.727989196777344,0.019907845563076343,36.20254287719727,0.261119569006277,0.012262715890113851,0.015076545027816968,35.75434684753418,0.6611981605426521,0.024951861972758893,0.025708000894310246,37.064063262939456,1.946539741887827,-0.011266408784624371,-0.06244558510438436,0.013460242028331812,0.010079707142846275,-0.13051159751715125,0.018101928496242703,37.30985641479492
2015-02-13,37.30985641479492,37.30985641479492,36.69752451392544,36.89313085322874,40264900,36.89313085322874,37.30985641479492,36.69752451392544,37.30985641479492,40264900,0.018101928496242703,36.646484375,0.016753161340278266,36.04265594482422,-0.005164143663557996,36.22975158691406,0.005665131744676533,36.06816101074219,-0.0009425218079681663,34.358726501464844,-0.03832465039583044,36.45088195800781,0.5414002693243799,0.023565258524517185,0.034426357464771185,36.049459838867186,0.6267716361098833,0.03496298090349814,0.08589171409494067,36.99560127258301,1.9104926934204791,0.008494392073708612,-0.035399994851813554,0.016412068008567027,0.01129547837032409,0.21029012167556393,0.0004588696653717861,37.32697677612305
2015-02-17,37.32697677612305,37.68671200419879,36.99293272060279,37.66101756429336,33695700,37.66101756429336,37.68671200419879,36.99293272060279,37.32697677612305,33695700,0.0004588696653717861,37.30985641479492,0.018101928496242703,36.646484375,0.016753161340278266,36.04265594482422,-0.005164143663557996,36.02566146850586,-0.0011783118696756523,35.107139587402344,0.021782329036717618,36.71114501953125,0.5959241491512081,0.016775062621014802,0.036121899073381813,36.27144355773926,0.6486651686089957,0.02910094318974421,0.06323036324831377,36.895677375793454,1.8329091239028383,0.01168970001381675,-0.05081894031311873,0.01858653830330537,-0.008869669748037266,-0.1631495421570648,-0.0011474655757772734,37.28414535522461
