Date,Close_TSLA,High_TSLA,Low_TSLA,Open_TSLA,Volume_TSLA,Close,close_lag_1,close_lag_2,close_lag_3,close_lag_5,close_lag_10,rolling_mean_5,rolling_std_5,rolling_mean_10,rolling_std_10,rolling_mean_20,rolling_std_20,daily_return,target
2018-01-30,23.05466651916504,23.218000411987305,22.81133270263672,23.00933265686035,70765500,23.05466651916504,23.302000045776367,22.856666564941406,22.50933265686035,23.519332885742188,22.67066764831543,22.95639991760254,0.29559560012106856,23.1188663482666,0.3004155537220367,22.519799995422364,0.7996057246389146,-0.010614261699658623,23.62066650390625
2018-01-31,23.62066650390625,23.746000289916992,23.012666702270508,23.167333602905273,93211500,23.62066650390625,23.05466651916504,23.302000045776367,22.856666564941406,23.05933380126953,23.143999099731445,23.068666458129883,0.4234214413284552,23.166533088684083,0.340048379539436,22.63239994049072,0.7874423391956183,0.024550343604870628,23.28333282470703
2018-02-01,23.28333282470703,23.977333068847656,23.242000579833984,23.399999618530273,62965500,23.28333282470703,23.62066650390625,23.05466651916504,23.302000045776367,22.50933265686035,22.971332550048828,23.22346649169922,0.28746954779512696,23.1977331161499,0.3344150140767248,22.73906660079956,0.7174476210617593,-0.014281293846785892,22.916667938232422
2018-02-02,22.916667938232422,23.463333129882812,22.700666427612305,23.229333877563477,55572000,22.916667938232422,23.28333282470703,23.62066650390625,23.05466651916504,22.856666564941406,23.334667205810547,23.235466766357423,0.2689879629363364,23.15593318939209,0.34144707826745496,22.836166667938233,0.5853364792925699,-0.015747955382294898,22.208667755126953
2018-02-05,22.208667755126953,22.96466636657715,22.200000762939453,22.531333923339844,66961500,22.208667755126953,22.916667938232422,23.28333282470703,23.62066650390625,23.302000045776367,23.437332153320312,23.016800308227538,0.5244598481906999,23.033066749572754,0.43670989239377983,22.891333389282227,0.44996260538999877,-0.03089455173037159,22.264667510986328
2018-02-06,22.264667510986328,22.4146671295166,21.566667556762695,21.680667877197266,76326000,22.264667510986328,22.208667755126953,22.916667938232422,23.28333282470703,23.05466651916504,23.519332885742188,22.8588005065918,0.620419764680999,22.90760021209717,0.46103794558765804,22.883200073242186,0.4601459777417507,0.002521527021648984,23.0
2018-02-07,23.0,23.066667556762695,22.37733268737793,22.599332809448242,104538000,23.0,22.264667510986328,22.208667755126953,22.916667938232422,23.62066650390625,23.05933380126953,22.734667205810545,0.47490389945963074,22.901666831970214,0.4592465416514371,22.920900058746337,0.43541540822571845,0.03302687941110416,21.01533317565918
2018-02-08,21.01533317565918,23.2413330078125,20.97333335876465,22.887332916259766,154719000,21.01533317565918,23.0,22.264667510986328,22.208667755126953,23.28333282470703,22.50933265686035,22.281067276000975,0.7950543879429088,22.752266883850098,0.7512427915837507,22.855666732788087,0.5976771324725801,-0.0862898619278617,20.69466781616211
2018-02-09,20.69466781616211,21.398666381835938,19.650667190551758,21.32866668701172,194005500,20.69466781616211,21.01533317565918,23.0,22.264667510986328,22.916667938232422,22.856666564941406,21.836667251586913,0.9557280019703557,22.536067008972168,0.9907731188950427,22.763900089263917,0.7671744722204207,-0.015258637910555595,21.048667907714844
2018-02-12,21.048667907714844,21.205333709716797,20.416667938232422,21.075332641601562,93417000,21.048667907714844,20.69466781616211,21.01533317565918,23.0,22.208667755126953,23.302000045776367,21.604667282104494,0.9832475167920004,22.310733795166016,1.051593206902744,22.69560012817383,0.8556111028922241,0.017105860055229627,21.577333450317383
2018-02-13,21.577333450317383,21.612667083740234,20.833999633789062,21.001333236694336,68403000,21.577333450317383,21.048667907714844,20.69466781616211,21.01533317565918,22.264667510986328,23.05466651916504,21.467200469970702,0.9134774123035966,22.16300048828125,1.0391675794485362,22.640933418273924,0.8914643948754714,0.025116342037434514,21.487333297729492
2018-02-14,21.487333297729492,21.744667053222656,21.23466682434082,21.389333724975586,59260500,21.487333297729492,21.577333450317383,21.048667907714844,20.69466781616211,23.0,23.62066650390625,21.1646671295166,0.3643702623086316,21.949667167663574,0.9186613573875831,22.558100128173827,0.9188080854124571,-0.004171050736881843,22.271333694458008
2018-02-15,22.271333694458008,22.274667739868164,21.49333381652832,21.633333206176758,88693500,22.271333694458008,21.487333297729492,21.577333450317383,21.048667907714844,21.01533317565918,23.28333282470703,21.415867233276366,0.5953917928052463,21.84846725463867,0.8040065817679142,22.523100185394288,0.9155651602811636,0.036486630791516594,22.365999221801758
2018-02-16,22.365999221801758,22.874666213989258,22.109333038330078,22.166667938232422,84639000,22.365999221801758,22.271333694458008,21.487333297729492,21.577333450317383,20.69466781616211,22.916667938232422,21.750133514404297,0.5572068759978581,21.793400382995607,0.7389408550091683,22.474666786193847,0.8957812083863764,0.004250554934988271,22.31800079345703
2018-02-20,22.31800079345703,22.722667694091797,22.100000381469727,22.29800033569336,60141000,22.31800079345703,22.365999221801758,22.271333694458008,21.487333297729492,21.048667907714844,22.208667755126953,22.004000091552733,0.43304043255867175,21.804333686828613,0.7465376014782061,22.418700218200684,0.8669738653932026,-0.002146044443117834,22.219999313354492
2018-02-21,22.219999313354492,22.645999908447266,22.211332321166992,22.402000427246094,48294000,22.219999313354492,22.31800079345703,22.365999221801758,22.271333694458008,21.577333450317383,22.264667510986328,22.132533264160156,0.3647270978744482,21.79986686706543,0.7436050827938037,22.3537335395813,0.8279621900956675,-0.004391140631703427,23.077999114990234
2018-02-22,23.077999114990234,23.16266632080078,22.316667556762695,22.368667602539062,104547000,23.077999114990234,22.219999313354492,22.31800079345703,22.365999221801758,21.487333297729492,23.0,22.450666427612305,0.3548529814088598,21.807666778564453,0.7578647484607334,22.354666805267335,0.8288094775374903,0.03861385365210501,23.469999313354492
2018-02-23,23.469999313354492,23.666000366210938,23.139999389648438,23.18866729736328,87261000,23.469999313354492,23.077999114990234,22.219999313354492,22.31800079345703,22.271333694458008,21.01533317565918,22.6903995513916,0.5529923153283947,22.053133392333983,0.8629567470691077,22.40270013809204,0.8652799640568242,0.016985883239315713,23.827999114990234
2018-02-26,23.827999114990234,23.933332443237305,23.49066734313965,23.566667556762695,65100000,23.827999114990234,23.469999313354492,23.077999114990234,22.219999313354492,22.365999221801758,20.69466781616211,22.982799530029297,0.7043810153202265,22.366466522216797,0.8835026400516031,22.451266765594482,0.9177689256953182,0.015253507120131848,23.39933204650879
2018-02-27,23.39933204650879,23.999332427978516,23.333999633789062,23.75,71961000,23.39933204650879,23.827999114990234,23.469999313354492,23.077999114990234,22.31800079345703,21.048667907714844,23.19906578063965,0.608748096577224,22.60153293609619,0.8029700456810941,22.456133365631104,0.9227619641002992,-0.017990057260484416,22.87066650390625
2018-02-28,22.87066650390625,23.682666778564453,22.814666748046875,23.504667282104492,91045500,22.87066650390625,23.39933204650879,23.827999114990234,23.469999313354492,22.219999313354492,21.577333450317383,23.32919921875,0.36976288326786194,22.73086624145508,0.7194925140720856,22.446933364868165,0.917382035783371,-0.022593189478732012,22.062000274658203
2018-03-01,22.062000274658203,23.244667053222656,22.004667282104492,23.000667572021484,103284000,22.062000274658203,22.87066650390625,23.39933204650879,23.827999114990234,23.077999114990234,21.487333297729492,23.125999450683594,0.6861376141922063,22.78833293914795,0.6260110565426664,22.369000053405763,0.8777740439836047,-0.03535822749677753,22.341333389282227
2018-03-02,22.341333389282227,22.347999572753906,21.531333923339844,21.798667907714844,76392000,22.341333389282227,22.062000274658203,22.87066650390625,23.39933204650879,23.469999313354492,22.271333694458008,22.900266265869142,0.7289936335803369,22.79533290863037,0.6199497263726427,22.32190008163452,0.8509948065382542,0.012661277814635996,22.22333335876465
2018-03-05,22.22333335876465,22.516666412353516,21.952667236328125,22.159332275390625,57357000,22.22333335876465,22.341333389282227,22.062000274658203,22.87066650390625,23.827999114990234,22.365999221801758,22.579333114624024,0.5496103971780015,22.78106632232666,0.6324432064636982,22.287233352661133,0.8395356488467928,-0.0052816914935877035,21.8799991607666
2018-03-06,21.8799991607666,22.424667358398438,21.802000045776367,22.25,64285500,21.8799991607666,22.22333335876465,22.341333389282227,22.062000274658203,23.39933204650879,22.31800079345703,22.275466537475587,0.37526044353582133,22.73726615905762,0.681352208415116,22.270799922943116,0.84435736976627,-0.015449266428910424,22.15333366394043
2018-03-07,22.15333366394043,22.166667938232422,21.44933319091797,21.695999145507812,75109500,22.15333366394043,21.8799991607666,22.22333335876465,22.341333389282227,22.87066650390625,22.219999313354492,22.131999969482422,0.17394090952893412,22.73059959411621,0.6872760423519266,22.26523323059082,0.8447668299890877,0.012492436638843696,21.940000534057617
2018-03-08,21.940000534057617,22.219999313354492,21.751333236694336,22.19066619873047,53493000,21.940000534057617,22.15333366394043,21.8799991607666,22.22333335876465,22.062000274658203,23.077999114990234,22.107600021362305,0.1936548467103583,22.616799736022948,0.7169372818656305,22.2122332572937,0.8293530484985459,-0.009629843215428147,21.81133270263672
